Publisher Name,Publisher Registry Id,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,Time lag
King Salman Humanitarian Aid and Relief Centre,ksrelief291,17,5,3,2,19,4,2,0,0,0,0,0,Six months
King's College London,kingscollegelondon,4,2,1,3,1,1,0,0,1,0,0,0,Six months
Landell Mills,landell-mills,0,1,0,1,0,0,0,1,0,0,0,0,Six months
Liga Internacional de Mujeres por la Paz y la Libertad - Limpal Colombia,limpal-colombia,1,1,0,1,1,0,1,0,1,0,0,0,Six months
Link Community Development International,lcdi_admin,5,0,1,4,0,1,6,0,0,0,0,0,Six months
MAG,mag,0,0,20,0,0,23,0,0,19,0,0,0,Six months
MDF Global,mdf,0,0,4,1,1,3,0,0,1,0,0,0,Six months
MVO Nederland,mvo_nederland,0,0,3,0,0,3,0,0,3,0,0,0,Six months
Malaria Consortium,malariaconsortium,34,24,88,18,19,60,21,68,151,0,0,0,Six months
Mama Cash,mamac,0,0,0,0,0,15,2,0,0,0,0,0,Six months
MannionDaniels,manniondaniels,30,42,108,21,16,68,6,29,41,0,0,0,Six months
Mercy Corps Europe,mce,0,0,42,0,0,32,0,0,11,0,0,0,Six months
Mercy Ships UK Limited,msuk,2,0,2,0,0,3,0,0,2,0,0,0,Six months
Milieudefensie,foenl,0,1,0,0,3,15,2,2,8,0,0,0,Six months
Millennium Challenge Corporation,millenniumchallenge,0,0,720,0,0,636,0,0,592,0,0,0,Six months
Mission Øst,missioneast,1,0,0,0,0,2,0,0,3,0,0,0,Six months
Mwatana for Human Rights,mwatana,1,1,0,1,0,1,0,2,1,0,0,0,Six months
Mzumbe University,m_u,0,0,1,0,0,1,0,0,1,0,0,0,Six months
Nathan Associates London Ltd.,nathan,0,0,7,0,0,8,0,0,7,0,0,0,Six months
Nepal Netra Jyoti Sangh,nnjs_nepal,1,0,1,2,0,1,0,0,2,0,0,0,Six months
Niger Delta Stakeholders Initiative for Community Development and Empowerment,ndsicde,0,0,2,0,0,1,0,1,1,0,0,0,Six months
Non-Timber Forest Products Exchange Programme,ntfp-ep,0,0,0,0,0,7,0,0,1,0,0,0,Six months
Norwegian People's Aid,npa,0,0,0,0,0,0,0,0,13,0,0,0,Six months
Nuffic,nuffic20171017,5,4,5,1,0,0,0,1,1,0,0,0,Six months
Nutrition International,nutritionintl,0,0,1,0,0,1,0,1,1,0,0,0,Six months
ODI,odi,5,0,7,5,0,4,3,3,25,0,0,0,Six months
ODI Sales Limited,odi_sales_ltd,1,0,0,1,1,0,1,0,5,0,0,0,Six months
ONG ALCRER,alcrer-1,0,0,0,1,0,2,2,0,0,0,0,0,Six months
Options Consultancy Services,options,24,0,21,1,0,24,0,0,23,0,0,0,Six months
Orbis Charitable Trust,orbis_uk,1,0,5,1,0,3,0,0,3,0,0,0,Six months
Orbis International,orbis_international,2,0,5,1,0,2,0,0,3,0,0,0,Six months
OurLoop Stitchting,loop,2,2,5,2,9,4,4,1,0,0,0,0,Six months
Oxfam GB,oxfamgb,0,0,1172,0,0,1191,0,0,1279,0,0,0,Six months
Oxfam IBIS,ibis_denmark,0,2,0,0,1,0,0,0,1,0,0,0,Six months
PATH,_path_,0,3,4,0,0,6,0,0,6,0,0,0,Six months
PAX,pax,1,0,25,1,1,57,11,1,20,0,0,0,Six months
PUM Netherlands,pumnl,0,0,0,0,0,37,0,0,35,0,0,0,Six months
Palladium International Ltd (UK),palladium,2,1,18,0,0,16,0,0,4,0,0,0,Six months
Partnership for African Social & Governance Research (PASGR),pasgr,0,1,1,0,1,1,0,0,1,0,0,0,Six months
Pathfinder International,pathfinder1,0,1,5,0,1,6,0,0,5,0,0,0,Six months
Penal Reform International,pri,14,14,13,15,15,14,14,14,18,0,0,0,Six months
Population Media Center,pmc,0,1,0,0,1,0,1,0,0,0,0,0,Six months
Population Service International,psi,0,0,0,0,0,0,2,0,0,0,0,0,Six months
Practical Action,pa,0,0,329,0,0,334,0,0,253,0,0,0,Six months
Rainforest Foundation UK,rfuk,0,0,7,1,0,6,1,0,6,0,0,0,Six months
Reach A Hand Uganda,rahuug,0,1,0,0,1,0,0,1,0,0,0,0,Six months
Republic of Korea,odakorea,0,0,0,0,0,351,3865,0,1512,0,0,0,Six months
Results for Development,r4d,0,0,12,0,0,12,0,0,6,0,0,0,Six months
Royal Institute of International Affairs,riia,12,4,2,0,6,3,4,4,2,0,0,0,Six months
Royal Tropical Institute,kit,0,0,27,0,0,32,8,0,14,0,0,0,Six months
SPARK,spark,0,1,0,1,0,2,0,0,1,0,0,0,Six months
Search for Common Ground (SFCG),sfcg,2,0,3,1,1,15,2,0,0,0,0,0,Six months
SeeYou Foundation,syf,0,0,0,0,0,5,0,1,0,0,0,0,Six months
Send a Cow,sendacow,5,0,0,7,0,1,6,1,0,0,0,0,Six months
Send a Cow Uganda,sacu,5,0,0,5,0,0,5,0,0,0,0,0,Six months
Sexual Reproductive Health and Rights Africa Trust,srhr_africa_trust,0,0,0,0,0,0,0,0,15,0,0,0,Six months
Sightsavers,ss-org,0,0,648,0,0,1167,172,0,940,0,0,0,Six months
Simavi,simavi,19,20,35,41,39,36,18,20,30,0,0,0,Six months
Sisonke National Sex Workers Movement,sisonke,0,0,4,0,0,5,0,0,4,0,0,0,Six months
Solidar Suisse,solidarsuisse,0,0,3,1,0,10,0,0,10,0,0,0,Six months
Solidaridad,solidaridad,1374,1081,1197,1947,1659,2311,1,1,0,0,0,0,Six months
South African Network of People who Use Drugs,sanpud,0,0,6,0,0,5,0,0,4,0,0,0,Six months
SouthSouthNorth,ssn,1,2,0,1,1,0,0,2,0,0,0,0,Six months
Stichting Fern,stichtingfern,1,0,0,1,0,3,3,0,1,0,0,0,Six months
Stichting Onderzoek Multinationale Ondernemingen (SOMO),somo,0,1,0,0,1,3,0,2,0,0,0,0,Six months
Stichting Red een Kind,redeenkind,10,8,12,12,14,13,6,4,5,0,0,0,Six months
Stichting VSO Nederland,vso_nl,0,0,0,0,0,6,1,0,0,0,0,0,Six months
Stichting Wilde Ganzen/ IKON,nl_wg,0,1,4,3,2,2,43,10,0,0,0,0,Six months
Street Child,street_child,5,1,8,5,0,9,4,0,11,0,0,0,Six months
Sustainable Development Institute,sdi,0,1,0,0,1,3,0,1,0,0,0,0,Six months
TREE AID,treea,2,0,1,0,3,2,2,0,0,0,0,0,Six months
Terre des Hommes Netherlands,tdh_nl,0,14,0,11,2,88,7,0,5,0,0,0,Six months
The AGRI3 Fund,agri3_fund,0,0,0,0,1,1,1,0,0,0,0,0,Six months
The Asia Foundation,taf,0,0,1,0,0,1,0,0,10,0,0,0,Six months
The Education Commission,educomm,1,0,2,0,2,2,1,1,0,0,0,0,Six months
The HALO Trust,halo,0,0,1,0,0,0,2,0,0,0,0,0,Six months
The Hague Academy for Local Governance,tha,0,0,0,0,0,8,0,1,0,0,0,0,Six months
The Institute for Strategic Dialogue,isdglobal,0,0,1,0,0,0,0,0,1,0,0,0,Six months
The International Rescue Committee,irc_inc,0,0,6,0,0,71,1,0,39,0,0,0,Six months
The Leprosy Mission England and Wales,tlmew,1,1,3,1,0,1,0,0,1,0,0,0,Six months
"The Population Council, Inc.",populationcouncil,2,0,0,2,0,0,1,0,1,0,0,0,Six months
The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),unrwa,0,0,44,0,0,370,0,0,790,0,0,0,Six months
"The University of Dodoma (UDOM), Tanzania",udom,0,0,1,0,0,1,0,0,1,0,0,0,Six months
The University of Manchester,uom,1,0,1,0,0,1,0,0,11,0,0,0,Six months
Third World Network Africa,twnafrica,0,0,4,0,1,1,0,2,7,0,0,0,Six months
Transparently Lebanese,transparently_lebanese,0,0,0,0,0,0,1,0,0,0,0,0,Six months
Tropenbos International,tbi,0,0,0,0,0,12,0,0,1,0,0,0,Six months
UN Global Compact Local Network UK,ungc-uk,0,0,0,0,0,0,0,1,0,0,0,0,Six months
Uganda Martyrs University,umu,0,0,1,0,0,1,0,0,1,0,0,0,Six months
University of Cape Town,uct,0,0,3,0,0,3,0,0,3,0,0,0,Six months
Urgent Action Fund for Women's Human Rights,uaf,0,0,0,0,0,0,1,0,0,0,0,0,Six months
Urgent Action Fund-Africa,uaf-africa,0,0,0,0,0,4,1,0,0,0,0,0,Six months
VNG International,vngi,0,0,0,0,0,0,2,0,0,0,0,0,Six months
WWF-BRASIL,wwfbr,0,0,0,0,0,0,1,0,0,0,0,0,Six months
WYG International B.V.,wygi,0,0,11,0,0,14,0,0,43,0,0,0,Six months
WasteAid UK,wasteaid,0,0,0,4,8,21,12,15,25,0,0,0,Six months
Water Finance Facility,wff,0,0,3,0,0,3,0,0,3,0,0,0,Six months
Welsh Centre for International Affairs,wcia,1,1,1,0,1,1,0,1,0,0,0,0,Six months
Women Engage for a Common Future,wecf,0,0,0,0,1,14,0,0,1,0,0,0,Six months
Women's Fund Asia,wf-asia,1,0,3,0,0,40,9,3,4,0,0,0,Six months
World Bank Trust Funds,wbtf,87,83,91,91,98,99,41,59,0,0,0,0,Six months
World Benchmarking Alliance Foundation,wba,2,1,1,0,3,1,2,1,1,0,0,0,Six months
World Child Cancer UK,wccuk,0,2,5,0,1,8,1,3,6,0,0,0,Six months
World Horse Welfare,whw2019,0,0,1,0,0,1,0,0,1,0,0,0,Six months
World Jewish Relief,wjr_001,2,0,0,7,0,0,0,0,3,0,0,0,Six months
Young Women's Christian Association of Kenya,ywcakenya,0,1,0,0,0,0,0,1,0,0,0,0,Six months
Zoological Society of London,zsl,0,0,25,0,0,35,0,0,17,0,0,0,Six months
7iber Media Consulting,7iberdotcom,0,0,0,1,1,0,0,0,0,0,0,0,One year
ACODEV,acodev,0,0,0,0,0,6,0,0,0,0,0,0,One year
ACTION AGAINST HUNGER SPAIN,acfspain,0,0,0,0,0,1,0,0,0,0,0,0,One year
APT Action on Poverty,apt,2,1,1,0,2,0,0,0,0,0,0,0,One year
AUXFIN Burundi,auxfinbi,0,0,0,0,1,8,0,0,0,0,0,0,One year
Accountability Lab,alab,0,0,0,1,0,0,0,0,0,0,0,0,One year
Action Canada for Sexual Health and Rights,acfshr,0,0,1,0,0,0,0,0,0,0,0,0,One year
ActionAid International Nepal,aain,0,0,1,0,2,1,0,0,0,0,0,0,One year
Acumen,acumen,1,0,2,0,0,1,0,0,0,0,0,0,One year
Afghanaid,afghanaid,385,117,0,0,1,0,0,0,0,0,0,0,One year
Africalia,africalia,0,0,0,0,0,27,0,0,0,0,0,0,One year
African Center for Economic Transformation (ACET),acet,0,0,73,0,0,32,0,0,0,0,0,0,One year
African Security Sector Network,assn,0,0,0,0,0,5,0,0,0,0,0,0,One year
Akili Dada,ad,0,0,0,0,0,5,0,0,0,0,0,0,One year
Akina Mama wa Afrika,amwa,1,0,0,1,0,6,0,0,0,0,0,0,One year
Akvo Foundation,akvo,1,0,0,5,0,0,0,0,0,0,0,0,One year
Alliance for a Green Revolution for Africa,agra,0,0,2,0,0,0,0,0,0,0,0,0,One year
Amnesty International The Netherlands,amnesty,0,0,0,0,1,13,0,0,0,0,0,0,One year
Amref Health Africa Headquarters,amrefhq,0,3,0,1,0,2,0,0,0,0,0,0,One year
Amref Health Africa in Ethiopia,amrefeth,0,1,0,0,0,0,0,0,0,0,0,0,One year
Amref Health Africa in Uganda,amrefug,0,0,1,0,0,0,0,0,0,0,0,0,One year
Arab Reporters for Investigative Journalism,arij,0,0,5,0,0,6,0,0,0,0,0,0,One year
Arab Women Organization of Jordan,awo2022,0,0,0,0,0,1,0,0,0,0,0,0,One year
Asociación Movimiento Feminista Por La Paz Ruta Pacífica de las Mujeres,rpm,0,0,0,0,1,2,0,0,0,0,0,0,One year
Asociación Profamilia,profamilia,2,0,0,0,0,0,0,0,0,0,0,0,One year
Assistance Mission for Africa,ama-south-sudan,0,0,1,0,0,1,0,0,0,0,0,0,One year
Association des Editeurs du Magazine Jimbere,j2022,0,2,0,0,0,0,0,0,0,0,0,0,One year
Association for Cultural Technical and Educational Cooperation (ACTEC),actec,0,0,0,0,0,34,0,0,0,0,0,0,One year
"Association for Prevention of Septic Abortion, Bangladesh (BAPSA)",bapsa,1,0,0,0,0,0,0,0,0,0,0,0,One year
Association for Progressive Communication,apc,0,0,0,0,0,3,0,0,0,0,0,0,One year
Association of Commonwealth Universities,acu,11,1,0,11,0,0,0,0,0,0,0,0,One year
Association pour la Promotion de l'Education et de la Formation à l'Etranger,apefe,0,0,0,0,0,16,0,0,0,0,0,0,One year
Auschwitz Institute for the Prevention of Genocide and Mass Atrocities,aipr,1,0,1,0,0,0,0,0,0,0,0,0,One year
Auto-Développement Afrique (ADA),ada,1,0,0,0,1,4,0,0,0,0,0,0,One year
Autre Terre asbl,a-t,0,0,0,0,0,21,0,0,0,0,0,0,One year
BRAC University,bu,0,0,1,0,0,0,0,0,0,0,0,0,One year
Balloon Ventures Foundation,bvf,1,0,0,0,0,0,0,0,0,0,0,0,One year
Bangladesh Primary Care Respiratory Society,bpcrs,0,0,2,0,0,0,0,0,0,0,0,0,One year
Bees for Development Trust,beesfordevelopment,0,0,0,1,0,0,0,0,0,0,0,0,One year
Belgian development agency (Enabel),enabel,69,35,57,66,55,71,0,0,0,0,0,0,One year
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,bismsi,0,0,0,0,0,6,0,0,0,0,0,0,One year
British Red Cross,gb-chc-220949,20,22,14,19,3,0,0,0,0,0,0,0,One year
Broederlijk Delen,bd,0,0,0,0,0,134,0,0,0,0,0,0,One year
Build Africa,buildafrica,0,2,0,0,0,0,0,0,0,0,0,0,One year
Burundi Leadership Training Programme,bltp,1,0,0,1,0,3,0,0,0,0,0,0,One year
Business Watch Indonesia,bwi,0,2,0,0,0,2,0,0,0,0,0,0,One year
CABI,cabi,0,0,19,0,5,16,0,0,0,0,0,0,One year
CARE BENIN/TOGO,carebenintogo,0,0,0,0,0,5,0,0,0,0,0,0,One year
CHOICE for Youth and Sexuality,cfyas,0,1,2,1,0,0,0,0,0,0,0,0,One year
CIVIL INITIATIVES FOR DEVELOPMENT AND PEACE INDIA,cividep,3,2,1,1,0,3,0,0,0,0,0,0,One year
CNV Internationaal,nl-kvk-54436222-27541,0,0,0,0,0,19,0,0,0,0,0,0,One year
COC Nederland,cocnl_publisher,0,0,15,1,3,18,0,0,0,0,0,0,One year
COMMISSION JUSTICE ET PAIX ASBL (cjp),cjp,0,0,0,0,0,2,0,0,0,0,0,0,One year
Canada - International Development Research Centre/Centre de recherches pour le développement international,idrccrdi,336,196,316,0,0,0,0,0,0,0,0,0,One year
Carbon Trust Advisory Ltd,carbontrustadvisory,6,13,2,3,0,3,0,0,0,0,0,0,One year
Caritas International (Belgium),cibe,0,0,0,1,0,20,0,0,0,0,0,0,One year
Center for Development and Integration,cdi_vn_2021,0,0,0,0,0,1,0,0,0,0,0,0,One year
"Center for Research, Evaluation Resources and Development (CRERD)",crerd_ng,0,0,2,0,0,0,0,0,0,0,0,0,One year
Centre Tricontinental - CETRI,ct-admin,0,0,0,0,0,4,0,0,0,0,0,0,One year
Centre des Etudes Méditerranéennes et Internationales,cemi,1,0,0,1,0,1,0,0,0,0,0,0,One year
Centre for Rights Education and Awareness,creawkenya,0,0,0,8,0,0,0,0,0,0,0,0,One year
Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,cdeb-kvhb_admin,0,1,0,0,0,6,0,0,0,0,0,0,One year
Cobra Collective CIC,cobracollective,1,1,0,1,1,1,0,0,0,0,0,0,One year
Collectif Stratégies Alimentaires,csa,0,2,0,0,0,8,0,0,0,0,0,0,One year
Collective for Research and Training on Development Action,crtda,0,0,0,0,0,1,0,0,0,0,0,0,One year
Comité pour l'abolition des dettes illégitimes,cadtm,0,0,2,0,0,3,0,0,0,0,0,0,One year
Commonwealth Local Government Forum,clgf_data,0,1,1,0,0,2,0,0,0,0,0,0,One year
Commune de Allada - Bénin,allada,0,0,0,0,0,1,0,0,0,0,0,0,One year
Commune de Aplahoué - Bénin,aplahoue,0,0,0,1,0,0,0,0,0,0,0,0,One year
Commune de Avrankou - Bénin,avrankou,0,0,0,1,0,0,0,0,0,0,0,0,One year
Commune de Bopa - Bénin,bopa,0,0,0,2,0,0,0,0,0,0,0,0,One year
Commune de Comè - Bénin,come,0,0,0,1,1,0,0,0,0,0,0,0,One year
Commune de Dangbo - Benin,dangbo,0,0,0,1,0,1,0,0,0,0,0,0,One year
Commune de Ifangni - Bénin,ifangni,0,0,0,2,0,0,0,0,0,0,0,0,One year
Commune de Klouékanmè - Bénin,klouekanme,0,0,0,2,1,0,0,0,0,0,0,0,One year
Commune de Kpomassè - Bénin,kpomasse,0,0,0,3,1,0,0,0,0,0,0,0,One year
Commune de Kétou - Bénin,ketou,0,0,0,2,0,1,0,0,0,0,0,0,One year
Commune de Lalo - Bénin,lalo,0,0,0,2,0,0,0,0,0,0,0,0,One year
Commune de Parakou - Bénin,parakou,0,0,0,3,1,1,0,0,0,0,0,0,One year
Commune de Pobè - Bénin,pobe,0,0,0,4,0,0,0,0,0,0,0,0,One year
Commune de Toffo - Bénin,toffo,0,0,0,4,1,1,0,0,0,0,0,0,One year
Commune de Toviklin - Bénin,toviklin,0,0,0,4,0,0,0,0,0,0,0,0,One year
Commune de Zè - Bénin,ze,0,0,0,5,1,1,0,0,0,0,0,0,One year
Concern Worldwide,concern_worldwide,1,1,37,0,0,33,0,0,0,0,0,0,One year
Concern Worldwide UK,concernuk,2,2,34,0,0,20,0,0,0,0,0,0,One year
Concordis International,concordis,4,0,1,0,0,0,0,0,0,0,0,0,One year
Coopération par l'Education et la Culture,cec,1,0,1,0,0,4,0,0,0,0,0,0,One year
DECP,decp,0,0,1,0,0,28,0,0,0,0,0,0,One year
DKT Ethiopia,dkt_ethiopia,0,0,0,1,2,2,0,0,0,0,0,0,One year
DUF - The Danish Youth Council,duf,0,0,1,0,0,0,0,0,0,0,0,0,One year
Danish Red Cross,danishrc,2,0,0,0,0,1,0,0,0,0,0,0,One year
Democracy Reporting International gGmbH,dri,0,0,7,0,0,7,0,0,0,0,0,0,One year
Disability and Development Partners,ddp,2,2,0,0,0,0,0,0,0,0,0,0,One year
Djapo,djapo,0,0,0,0,0,4,0,0,0,0,0,0,One year
Dynamo International asbl,dynamo_international,0,0,0,0,0,2,0,0,0,0,0,0,One year
Défi Belgique Afrique,dba,0,0,0,0,0,4,0,0,0,0,0,0,One year
ECDPM,ecdpm,0,0,0,10,0,75,0,0,0,0,0,0,One year
ELEVATE Hong Kong Holdings Limited,elevatelimited,1,0,1,1,1,0,0,0,0,0,0,0,One year
Eclosio,eclosio,0,0,0,0,0,27,0,0,0,0,0,0,One year
Education Development Trust,edt_kenya,2,3,14,0,3,22,0,0,0,0,0,0,One year
Edukans Foundation,edukans_foundation,4,0,0,0,0,0,0,0,0,0,0,0,One year
Energy Saving Trust,energy_saving_trust,2,0,0,0,0,0,0,0,0,0,0,0,One year
Enfance Tiers Monde Kinderen Derde Wereld,etmkdw,0,0,0,0,0,6,0,0,0,0,0,0,One year
Entraide et Fraternité,ef_,0,0,0,0,0,51,0,0,0,0,0,0,One year
Ethical Trading Initiative,eti,0,0,0,0,0,7,0,0,0,0,0,0,One year
Ethiopian Horticulture Producer Exporters Association (EHPEA),ehpea,1,1,0,0,0,0,0,0,0,0,0,0,One year
Ethiopian Women with Disabilities National Assocation,ewdna2025,0,1,0,0,0,1,0,0,0,0,0,0,One year
Eve Organization for Women Development,eveowd,0,0,0,1,0,1,0,0,0,0,0,0,One year
FHI360,fhi360,0,0,0,1,1,0,0,0,0,0,0,0,One year
FIAN Belgium,fian-belgium,0,0,0,0,0,4,0,0,0,0,0,0,One year
FMO,fmo,7,14,13,3,5,12,0,0,0,0,0,0,One year
Fairfood International,fairfood,0,0,0,0,0,5,0,0,0,0,0,0,One year
Family Guidance Association of Ethiopia,fgae_ethiopia,1,1,1,0,1,2,0,0,0,0,0,0,One year
Federation of Women Lawyers Kenya,fida,0,1,0,0,1,1,0,0,0,0,0,0,One year
Fiabel,fiabel,0,0,0,0,0,5,0,0,0,0,0,0,One year
Fondation Hirondelle,fh_ch,1,0,0,0,0,0,0,0,0,0,0,0,One year
Fondo Centroamericano de Mujeres,fcam,1,0,0,0,0,3,0,0,0,0,0,0,One year
Fonds voor Ontwikkelingssamenwerking - Socialistische Solidariteit VZW,fos,0,0,0,0,0,60,0,0,0,0,0,0,One year
Food for the Hungry UK,fh,4,0,2,0,0,0,0,0,0,0,0,0,One year
Forum for Africa Women Educationalist Regional Secretariat,fawe-rs,0,0,0,0,1,6,0,0,0,0,0,0,One year
Fundación Fondo Mujeres del Sur,fms,0,0,0,0,0,67,0,0,0,0,0,0,One year
GOGLA - Global Off-Grid Lighting Association,gogla,0,1,0,0,0,0,0,0,0,0,0,0,One year
GSMA Foundation,gsma_foundation,6,2,0,0,0,0,0,0,0,0,0,0,One year
Gender Equality Network,gen,1,0,0,1,0,1,0,0,0,0,0,0,One year
Global Anaesthesia Development Partnerships,gadp,6,4,0,0,0,0,0,0,0,0,0,0,One year
Global Focus,globaltfokus,0,0,0,1,0,0,0,0,0,0,0,0,One year
Global Fund to End Modern Slavery,gfems,4,2,1,0,0,0,0,0,0,0,0,0,One year
Global Innovation Fund,gif,0,0,2,1,1,2,0,0,0,0,0,0,One year
GoodWeave International,goodweave_intl,2,1,0,0,0,0,0,0,0,0,0,0,One year
Goree Institute,gorin,2,0,0,1,0,1,0,0,0,0,0,0,One year
Handicap International Belgique,hib,0,0,0,0,0,14,0,0,0,0,0,0,One year
HiiL innovating Justice,hiil_mfa,0,0,0,0,3,2,0,0,0,0,0,0,One year
Humanitarian Quality Assurance Initiative,hqai,0,0,7,0,0,0,0,0,0,0,0,0,One year
IHE Delft Institute for Water Education,ihedelft,0,8,2,0,1,3,0,0,0,0,0,0,One year
IMPACT Initiatives,impact_initiatives,0,0,0,0,1,0,0,0,0,0,0,0,One year
IT for Change,itforchange,0,0,0,0,0,3,0,0,0,0,0,0,One year
ITECO - Centre de formation pour le développement,iteco,0,0,0,0,0,3,0,0,0,0,0,0,One year
Iles de Paix,idp,0,0,0,0,0,14,0,0,0,0,0,0,One year
Instiglio,instiglio,1,0,0,0,0,0,0,0,0,0,0,0,One year
Institut de Formation Syndical International - Internationaal Syndicaal Vormingsinstituut,ifsi_isvi,0,0,0,0,0,29,0,0,0,0,0,0,One year
Institute of Tropical Medicine,itm,0,0,0,0,0,51,0,0,0,0,0,0,One year
Integrity Action,integrity_action,2,1,1,0,1,1,0,0,0,0,0,0,One year
International Bureau of Fiscal Documentation (IBFD),ibfd,1,1,1,0,0,3,0,0,0,0,0,0,One year
International Center for Transitional Justice,ictj,6,0,8,0,0,0,0,0,0,0,0,0,One year
International Centre for Antimicrobial Resistance Solutions,icars,0,0,0,1,0,0,0,0,0,0,0,0,One year
"International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b)",icddrb,0,1,0,0,0,0,0,0,0,0,0,0,One year
International Crisis Group,crisisgroup,0,0,2,1,0,1,0,0,0,0,0,0,One year
International Fertilizer Development Center,ifdc-us,0,1,3,1,0,8,0,0,0,0,0,0,One year
International Primary Care Respiratory Group,ipcrg,0,0,1,0,0,0,0,0,0,0,0,0,One year
International Women's Rights Action Watch Asia Pacific,iwrawasiapacific,0,0,0,0,0,5,0,0,0,0,0,0,One year
Interpeace,interpeace,9,5,52,16,14,64,0,0,0,0,0,0,One year
Ipas,ipas,1,0,0,0,0,0,0,0,0,0,0,0,One year
Jordan Open Source Association,josa,22,0,0,0,0,0,0,0,0,0,0,0,One year
Joshua Orphan and Community Care,jocc_uk,1,0,0,0,0,0,0,0,0,0,0,0,One year
KITUO CHA SHERIA,kituo,1,0,0,0,0,0,0,0,0,0,0,0,One year
KIYO,kiyo,0,0,0,0,0,29,0,0,0,0,0,0,One year
Kerk in Actie,kerk_in_actie,10,2,12,0,0,0,0,0,0,0,0,0,One year
Kesho Kenya,kesho_kenya,12,13,11,8,14,14,0,0,0,0,0,0,One year
King Hussein Foundation,khf,3,1,4,2,0,1,0,0,0,0,0,0,One year
Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW,111111_publisher,0,0,0,0,0,91,0,0,0,0,0,0,One year
Kvinna till Kvinna,ktk,0,0,0,0,0,1,0,0,0,0,0,0,One year
Laïcité et Humanisme en Afrique Centrale (LHAC),lhac,0,0,0,0,0,5,0,0,0,0,0,0,One year
Le Monde selon les femmes asbl,mondefemmes,0,0,0,0,0,11,0,0,0,0,0,0,One year
Legal Action Worldwide,law,1,2,2,0,0,0,0,0,0,0,0,0,One year
Light For The World Belgium,lftw-be,0,0,0,0,0,14,0,0,0,0,0,0,One year
Light for the World International,lftw-int,0,1,4,1,0,0,0,0,0,0,0,0,One year
London Business School,lbs,1,0,0,0,0,0,0,0,0,0,0,0,One year
London School of Economics and Political Science,lse,13,12,2,1,0,0,0,0,0,0,0,0,One year
Louvain Coopération,lc,0,0,0,0,0,74,0,0,0,0,0,0,One year
Max Foundation,max-foundation,1,3,1,1,0,11,0,0,0,0,0,0,One year
Memisa,memisa,0,0,0,0,0,7,0,0,0,0,0,0,One year
Mensen met een Missie,mm1,10,30,19,14,14,22,0,0,0,0,0,0,One year
Micaia Foundation,micfound,0,0,1,0,0,1,0,0,0,0,0,0,One year
Miel Maya Honing asbl,mmha,0,0,0,0,0,13,0,0,0,0,0,0,One year
Mifumi UK,mifumi_uk,0,0,2,1,0,0,0,0,0,0,0,0,One year
Ministère de l'Economie et des Finances du Bénin,mefbenin,3,1,1,0,1,2,0,0,0,0,0,0,One year
Minority Rights Group,mrg,0,0,1,0,0,1,0,0,0,0,0,0,One year
Mondiaal FNV,mondiaalfnv,0,0,0,0,0,2,0,0,0,0,0,0,One year
Motivation,motivation,0,0,5,0,0,4,0,0,0,0,0,0,One year
Musawah Global Vision Berhad,musawah,0,0,0,0,0,1,0,0,0,0,0,0,One year
Médecins Sans Vacances,msv,0,0,0,0,0,8,0,0,0,0,0,0,One year
National Union of Women With Disabilities of Uganda,nuwodu,0,1,0,0,1,1,0,0,0,0,0,0,One year
Near East Foundation UK (NEF UK),nef-uk,1,0,0,1,0,0,0,0,0,0,0,0,One year
Netherlands Red Cross,nlrc,237,169,231,191,167,81,0,0,0,0,0,0,One year
Netherlands Space Office,nso,0,0,0,0,0,1,0,0,0,0,0,0,One year
Ngo-federatie (Vlaamse federatie van ngo's voor ontwikkelingssamenwerking),ngo-federatie,0,0,0,0,0,6,0,0,0,0,0,0,One year
Nonviolent Peaceforce South Sudan,npss,0,0,1,0,0,2,0,0,0,0,0,0,One year
OECD,oecd,0,0,2,0,0,1,0,0,0,0,0,0,One year
Office for National Statistics,ons,8,0,0,0,0,0,0,0,0,0,0,0,One year
Orbis Ethiopia,orbis_ethiopia,1,0,1,0,0,0,0,0,0,0,0,0,One year
Oxfam Intermón,oxfamintermon,3,0,0,0,0,0,0,0,0,0,0,0,One year
Oxfam Solidarité-Solidariteit,oxsol,0,1,14,1,6,9,0,0,0,0,0,0,One year
Oxfam Wereldwinkels,oww,0,0,0,0,0,2,0,0,0,0,0,0,One year
Oxfam-Magasins du monde (omdm),omdm,0,0,0,0,0,4,0,0,0,0,0,0,One year
Oxfam-Quebec,oqc,0,0,0,1,0,0,0,0,0,0,0,0,One year
PRACTICA Foundation,practica,0,0,0,0,0,3,0,0,0,0,0,0,One year
Pact,pact,1,3,2,7,0,0,0,0,0,0,0,0,One year
Palladium Europe,palladium_eur,0,0,8,0,0,0,0,0,0,0,0,0,One year
Pan Africa ILGA,pai155669,0,0,1,0,0,1,0,0,0,0,0,0,One year
Pan African Climate Justice Alliance,pacja,0,0,0,0,0,3,0,0,0,0,0,0,One year
