Publisher Name,Publisher Registry Id,Activities,Organisations,Files,Activity Files,Organisation Files,Total File Size,Reporting Org on Registry,Reporting Orgs in Data (count),Reporting Orgs in Data,Hierarchies (count),Hierarchies
Business Watch Indonesia,bwi,2,0,1,1,0,28718,ID-DJP-023047012526000,1,ID-DJP-023047012526000,1,1
Bangladesh Youth Leadership Center,bylc,2,1,2,1,1,4341,BD-NAB-2686,1,BD-NAB-2686,1,1
C40 Cities Climate Leadership Group,c40cities,1,0,1,1,0,2897,US-EIN-900634376,1,US-EIN-900634376,1,1
CABI,cabi,21,1,12,11,1,491882,XI-IATI-CABI,1,XI-IATI-CABI,1,1
Comité pour l'abolition des dettes illégitimes,cadtm,4,1,2,1,1,54515,BE-BCE_KBO-0446340550,1,BE-BCE_KBO-0446340550,2,1;2
Conseil et Appui pour l'Education à la Base Mali,caeb_mali,1,1,2,1,1,70158,ML-NIF-084106436R,1,ML-NIF-084106436R,1,null
Catholic Agency For Overseas Development (CAFOD),cafod,789,1,72,71,1,3650601,GB-CHC-285776,1,GB-CHC-285776,1,1
Christian Aid,caid,1458,1,3,2,1,17351949,GB-CHC-1105851,1,GB-CHC-1105851,2,1;2
Crown Agents Limited,cal,9,1,8,7,1,396247,GB-COH-03259922,1,GB-COH-03259922,1,1
Coalition of African Lesbians (CAL),cal_2000-pu,5,0,1,1,0,145651,ZA-NPO-060766,1,ZA-NPO-060766,1,null
Camfed International,camfed,14,0,5,5,0,610692,GB-CHC-1029161,1,GB-CHC-1029161,2,0;null
CANADEM,canadem,14,1,6,5,1,63786,CA_ON-ONT-1597880,1,CA_ON-ONT-1597880,1,1
Canon Collins Trust,canoncollinstrust,1,0,1,1,0,12629,GB-CHC-1102028,1,GB-CHC-1102028,1,1
CAPABUILD,capabui,11,1,2,1,1,32811,NL-KVK-68758766,1,NL-KVK-68758766,1,1
Carbon Trust Advisory Ltd,carbontrustadvisory,1,1,2,1,1,276145,GB-COH-06274284,1,GB-COH-06274284,1,1
Cardno Emerging Markets,cardnoem,5,1,2,1,1,617051,GB-COH-05543952,1,GB-COH-05543952,1,1
CARE BENIN/TOGO,carebenintogo,2,0,1,1,0,221070,BJ-IFU-5201000673108,1,BJ-IFU-5201000673108,1,1
CARE Nederland,carenederland,86,1,2,1,1,1910067,NL-KVK-41158230,1,NL-KVK-41158230,2,1;2
Caribbean Development Bank (CDB),caribank,19,0,12,12,0,48128,XM-DAC-46009,2,XI-IATI-46009;XM-DAC-46009,1,1
Caritas Denmark,caritas_denmark,84,1,2,1,1,1008463,DK-CVR-29439915,1,DK-CVR-29439915,1,1
Caritas Serbia,caritas_serbia,6,0,1,1,0,19012,RS-APR-17062603,1,RS-APR-17062603,1,null
Caritas Finland,caritasfin,7,1,3,2,1,14244,FI-PRO-139407,1,FI-PRO-139407,2,1;null
CARPO - Center for Applied Research in Partnership with the Orient,carpo,1,0,1,1,0,6437,DE-CR-RA000220-VR9971,1,DE-CR-VR9971,1,1
The Carter Center,carter-center,1,0,1,1,0,6227,US-EIN-58-1454716,1,US-EIN-58-1454716,1,1
the center for victimized women and children,cavwoc,1,0,1,1,0,12602,MW-CNM-C057/1998,1,MW-CNM-C057/1998,1,null
The Convention on Business Integrity,cbi-nigeria,0,1,1,0,1,608,NG-CAC-RC481360,1,NG-CAC-RC481360,0,
Christian Blind Mission (UK) Ltd.,cbm,9,1,2,1,1,100986,GB-CHC-1058162,1,GB-CHC-1058162,1,1
Clean Clothes Campaign,ccc,4,1,2,1,1,274924,NL-KVK-41210820,1,NL-KVK-41210820,1,1
Centre For Citizens With Disabilities,ccdnigeria,0,0,0,0,0,0,NG-CAC-IT-23286,0,,0,
CDA Collaborative Learning Projects,cda,4,0,2,2,0,12248,US-IRS-562339052,1,US-IRS-562339052,1,1
CDAC Network,cdacnetwork,4,0,1,1,0,19165,GB-CHC-1178168,1,GB-CHC-1178168,1,1
CDC Group plc,cdc,178,1,2,1,1,502008,GB-COH-03877777,1,GB-COH-03877777,1,1
Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,cdeb-kvhb_admin,4,1,5,4,1,56482,BE-BCE_KBO-0463455904,1,BE-BCE_KBO-0463455904,2,1;2
Conflict Dynamics International,cdi,2,1,3,2,1,229241,US-EIN-56-2460366,1,US-EIN-56-2460366,1,1
Center for Development and Integration,cdi_vn_2021,1,1,2,1,1,54666,VN-MOST-A399,1,VN-MOST-A399,1,1
CDP Worldwide,cdp,8,1,2,1,1,38734,GB-CHC-1122330,1,GB-CHC-1122330,1,1
Coopération par l'Education et la Culture,cec,4,1,2,1,1,70582,BE-BCE_KBO-0417549465,1,BE-BCE_KBO-0417549465,2,1;2
Center for International Studies and Cooperation,ceci,1,0,1,1,0,4513,CA-CRA_ACR-118846575,1,CA-CRA_ACR-118846575,1,1
Cecily's Fund,cecily,1,1,2,1,1,44997,GB-CHC-1071660,1,GB-CHC-1071660,1,1
Christian Engineers in Development,ced,1,1,2,1,1,10247,GB-CHC-293734,1,GB-CHC-293734,1,1
The Centre for Economic Governance and Accountability in Africa  (CEGAA),cegaa,7,1,2,1,1,46387,ZA-NPO-053-456,1,ZA-NPO-053-456,1,1
Centre for Environment Human Rights and Development,cehrd1,66,0,1,1,0,250573,NG-CAC-19258,1,NG-CAC-19258,1,1
Centre des Etudes Méditerranéennes et Internationales,cemi,1,1,2,1,1,46064,TN-RNE-1027578P,1,TN-RNE-1027578P,1,null
Coalition for Epidemic Preparedness Innovations,cepi,3,0,1,1,0,96272,NO-BRC-917687811,1,NO-BRC-917687811,1,1
Centre for Economic Policy Research,cepr,2,1,2,1,1,580440,GB-CHC-287287,1,GB-CHC-287287,1,1
United Nations Central Emergency Response Fund (CERF),cerf,8730,1,19,18,1,45882769,XM-OCHA-CERF,1,XM-OCHA-CERF,1,1
Centre for Economic Strategy Ukraine,ces-ua,1,1,2,1,1,7718,UA-EDR-9795443,1,UA-EDR-39795443,1,1
Centro de Aprendizagem e Capacitação da Sociedade Civil,cesc,1,1,2,1,1,120653,MZ-NUIT-700089584,1,MZ-NUIT-700089584,1,1
Cesvi,cesvi,1,0,1,1,0,1364,IT-CF-95008730160,1,IT-CF-95008730160,1,1
Coöperatief Climate Fund Managers U.A.,cfm,23,0,1,1,0,44846,NL-KVK-64460789,1,NL-KVK-64460789,1,1
CHOICE for Youth and Sexuality,cfyas,16,1,2,1,1,972132,NL-KVK-32108345,1,NL-KVK-32108345,1,1
CGIAR,cgiar,4423,16,2,1,1,19730150,XM-DAC-47015,1,XM-DAC-47015,1,null
Clinton Health Access Initiative,chai,12,0,1,1,0,154257,US-EIN-27-1414646,1,US-EIN-27-1414646,1,1
Chance for Childhood,chanceforchildhood,9,0,1,1,0,31590,GB-CHC-1013587,1,GB-CHC-1013587,1,1
Chemonics International Inc.,chemonics,9,1,2,1,1,114817,US-EIN-52-2145827,1,US-EIN-52-2145827,1,1
Child.org,child-dot_org,1,1,2,1,1,11359,GB-CHC-1118528,1,GB-CHC-1118528,1,1
ChildFund International,childfund,1,1,2,1,1,20063,US-EIN-54-0536100,1,US-EIN-54-0536100,1,1
ChildHope UK,childhopeuk,7,1,6,5,1,266790,GB-CHC-328434,1,GB-CHC-328434,1,1
Association CHS Alliance,chs_alliance,3,0,1,1,0,19279,XI-IATI-CHSA,1,XI-IATI-CHSA,1,1
CARE International Afghanistan,ciafg,2,1,2,1,1,24531,AF-MOE-22,1,AF-MOE-22,1,1
Caritas International (Belgium),cibe,25,2,7,5,2,313680,BE-BCE_KBO-0410644946,1,BE-BCE_KBO-0410644946,3,1;2;null
Children in Crisis,cic,2,1,2,1,1,62042,GB-CHC-1020488,1,GB-CHC-1020488,1,null
Children in Crossfire,cicni,1,1,2,1,1,5636,GB-NIC-101412,1,GB-NIC-101412,1,1
Centre International de Développement et de Recherche,cidr,1,0,1,1,0,30559,FR-RCS-78049888700022,1,FR-RCS-78049888700022,1,1
Climate Investment Funds,cif,246,0,53,53,0,772510,47135,2,47134;47135,1,null
CIFAL Scotland,cifal,1,1,2,1,1,22096,GB-SC-037597,1,GB-SC-037597,1,1
Centre for Indian Knowledge Systems,ciks,1,1,2,1,1,281519,ciks,1,ciks,1,1
Center for International Legal Cooperation (CILC),cilc,1,0,1,1,0,4909,NL-KVK-41166983,1,NL-KVK-41166983,1,1
CINI,cini_jhk,1,0,1,1,0,37425,IN-MHA-147110006,1,IN-MHA-147110006,1,null
International Potato Center,cip,1,1,2,1,1,87740,XM-DAC-47021,1,XM-DAC-47021,1,1
"Centre for Injury Prevention and Research, Bangladesh (CIPRB)",ciprb,1,0,1,1,0,4475,BD-NAB-2004,1,BD-NAB-2004,1,1
CARE international foundation Switzerland in Sudan,cis,1,1,2,1,1,107669,XM-OCHA-HPC8568,1,XM-OCHA-HPC8568,1,1
CISU,cisu,2311,1,3,2,1,6079383,DK-CVR-19348407,1,DK-CVR-19348407,2,1;null
CARE International UK,ciuk,278,1,9,8,1,1747433,GB-CHC-292506,2,GB-CHC-202615;GB-CHC-292506,1,null
Center for Civilians in Conflict,civic_admin,7,1,4,3,1,92368,US-EIN-75-3130860,1,US-EIN-75-3130860,1,1
CIVICUS World Alliance for Citizen Participation,civicus,2,1,2,1,1,58672,ZA-NPO-029-864,1,ZA-NPO-029-864,1,1
CIVIL INITIATIVES FOR DEVELOPMENT AND PEACE INDIA,cividep,1,1,2,1,1,47053,IN-MHA-1070-99-2000,1,IN-MHA-1070/99-2000,1,1
CARE International in Zimbabwe,ciz,1,2,2,1,1,8112,ZW-PVO-15/2003,1,ZW-PVO-15/2003,1,1
COMMISSION JUSTICE ET PAIX ASBL (cjp),cjp,3,1,2,1,1,44273,BE-BCE_KBO-0418399305,1,BE-BCE_KBO-0418399305,2,1;2
Center for Church-Based Development,cku,698,1,3,2,1,1978849,DK-CVR-12006004,1,DK-CVR-12006004,1,1
CLASP,clasp,6,2,2,1,1,71311,US-EIN-33-1112770,1,US-EIN-33-1112770,1,1
Centre for Legal Research and Development,clerd-prpi,5,1,2,1,1,22028,NG-CAC-54522,2,NG-CAC-54522;NG-CAC-CAC-IT-NO.54522,1,1
Commonwealth Local Government Forum,clgf_data,1,1,2,1,1,13828,GB-COH-02962250,1,GB-COH-02962250,1,1
ClientEarth,clientearth-1,4,1,2,1,1,67178,GB-COH-02863827,1,GB-COH-02863827,1,1
The Climate Change Organisation,climate-group,1,1,2,1,1,3002,GB-CHC-1102909,1,GB-CHC-1102909,1,1
Red Cross Red Crescent Climate Centre,climate_centre,18,0,1,1,0,195314,NL-KVK-27267681,1,NL-KVK-27267681,1,1
Stichting Nederlands Instituut voor Internationale Betrekkingen 'Clingendael',clingendael,24,1,3,2,1,385338,NL-KVK-41152832,1,NL-KVK-41152832,1,1
Centre National de Coopération au Développement (CNCD-11.11.11),cncd,10,1,5,4,1,131163,BE-BCE_KBO-0421207751,1,BE-BCE_KBO-0421207751,2,1;2
CARE Nepal,cnepal,3,1,2,1,1,69860,NP-IRD-302274734,1,NP-IRD-302274734,1,1
Cobra Collective CIC,cobracollective,1,0,1,1,0,5584,GB-COH-10516061,1,GB-COH-10516061,1,1
COC Nederland,cocnl_publisher,19,1,2,1,1,567027,NL-KVK-40530156,1,NL-KVK-40530156,2,1;2
CODA International,coda,1,0,1,1,0,12833,GB-CHC-1000717,1,GB-CHC-1000717,1,1
Corporación de Apoyo a Comunidades Populares,codacop,1,1,2,1,1,13033,CO-RUES-800121811,1,CO-RUE-800121811,1,1
CODEART ASBL,codeart,3,1,2,1,1,29664,BE-BCE_KBO-0434417468,1,BE-BCE_KBO-0434417468,2,1;2
Church of England - The Archbishops' Council,coe-abc,6,1,2,1,1,27840,GB-CHC-1074857,1,GB-CHC-1074857,1,1
Coffey International Development,coffey,65,1,28,27,1,721897,GB-COH-3799145,1,GB-COH-3799145,1,1
City of London Corporation,col-greenfinance,2,0,1,1,0,12438,GB-LAE-LND,1,GB-LAE-LND,1,1
ColaLife,colalife,1,1,2,1,1,19598,GB-CHC-1142516,1,GB-CHC-1142516,1,1
Commune de Comè - Bénin,come,2,1,2,1,1,160968,BJ-IFU-6201000370801,2,BJ-IFU-6201000370801;BJ-IFU-6201300688700,1,null
The Commonwealth Secretariat,commonwealthsecretariat,51,1,2,1,1,34434876,XI-IATI-CWSEC,1,XI-IATI-CWSEC,1,1
Compassion UK,comp_uk,1,1,2,1,1,103847,GB-CHC-1077216,1,GB-CHC-1077216,1,1
Concern Worldwide,concern_worldwide,60,1,2,1,1,810218,IE-CHY-20009090,1,IE-CHY-20009090,1,null
Concern Worldwide UK,concernuk,60,1,2,1,1,757563,GB-CHC-1092236,1,GB-CHC-1092236,1,null
Concordis International,concordis,2,0,1,1,0,28857,GB-COH-04930461,1,GB-COH-04930461,1,1
Congodorpen vzw,congodorpen,5,1,4,3,1,112124,BE-BCE_KBO-0408256667,1,BE-BCE_KBO-0408256667,1,1
Cord,cord,1,1,2,1,1,25503,GB-CHC-1070684,1,GB-CHC-1070684,1,1
Cordaid,cordaid,477,1,5,4,1,17330258,NL-KVK-41160054,1,NL-KVK-41160054,1,1
Corus International,corus,0,1,1,0,1,791,US-EIN-843236198,1,US-EIN-84-3236198,0,
Construction Sector Transparency Initiative (CoST),cost_uk,39,0,1,1,0,86127,GB-COH-8159144,1,GB-COH-8159144,1,1
Cowater International Inc,cowater,5,1,2,1,1,67096,CA-CRA_ACR-101182509,1,CA-CRA_ACR-101182509,1,1
Cowater UK Limited,cowateruk,2,0,1,1,0,26203,GB-COH-11373728,1,GB-COH-11373728,1,1
COWI,cowi,3,1,3,2,1,309010,DK-CVR-44623528,1,DK-CVR-44623528,2,1;null
Centre for Policy Dialogue,cpd,1,1,2,1,1,19373,BD-NAB-0918,1,BD-NAB-0918,1,1
Center for Participation and Development,cpd_2021,1,1,2,1,1,20366,GE-RS-406061513,1,GE-RS-406061513,1,1
Climate Policy Initiative,cpi,3,1,4,3,1,7441,US-EIN-26-4129153,1,US-EIN-26-4129153,1,1
Charity Projects Ltd (Comic Relief),cprojects,397,1,3,2,1,2961175,GB-CHC-326568,3,GB-CHC-326568;GB-CHC-326569;GB-CHC-326570,2,1;null
Conciliation Resources,cr,5,1,2,1,1,110079,GB-CHC-1055436,2,GB-CHC-1055436;null,2,1;2
CRANE,crane,1,1,2,1,1,22705,UG-NGB-5914-9186,1,UG-NGB-5914-9186,1,1
Croix-Rouge de Belgique Communauté francophone - Activités internationales ASBL,crb-ai_admin,12,1,2,1,1,282269,BE-BCE_KBO-0462132150,1,BE-BCE_KBO-0462132150,2,1;2
CREA,creausa-org,38,5,2,1,1,877348,US-EIN-31-1812979,1,US-EIN-31-1812979,1,1
Centre for Rights Education and Awareness,creawkenya,1,1,2,1,1,43853,KE-NCB-OP-218-051-9994-1329,1,KE-NCB-OP-218-051-9994-1329,1,1
Center for Research on Environment Health and Population Activities (CREHPA),crehpa,1,1,2,1,1,7663,NP-SWC-1844,1,NP-SWC-1844,1,1
"Center for Research, Evaluation Resources and Development (CRERD)",crerd_ng,1,0,1,1,0,3113,NG-CAC-11660,1,NG-CAC-11660,1,1
International Crisis Group,crisisgroup,2,1,2,1,1,42643,US-EIN-52-5170039,1,US-EIN-52-5170039,1,1
Catholic Relief Services,crs,12,1,2,1,1,363731,US-EIN-13-5563422,1,US-EIN-13-5563422,1,1
Collective for Research and Training on Development Action,crtda,1,0,1,1,0,11885,LB-MOI-3567,1,LB-MOI-3567,1,1
Collectif Stratégies Alimentaires,csa,7,1,2,1,1,116362,BE-BCE_KBO-0448755949,1,BE-BCE_KBO-0448755949,2,1;2
Centre for the Study of Adolescence,csa-kenya,1,0,1,1,0,29062,KE-NCB-218/051/96110/823,1,KE-NCB-218/051/96110/823,1,null
Consortium for Street Children,csc,2,1,2,1,1,9569,GB-CHC-1046579,1,GB-CHC-1046579,1,1
CARE SOMALIA,csom1,3,1,2,1,1,238102,KE-NCB-218/051/9384/74,1,KE-NCB-218/051/9384/74,1,1
"Conflict, Stability and Security Fund",cssf,82,1,2,1,1,403541,GB-GOV-52,1,GB-GOV-52,1,null
CHEKA SANA TANZANIA,cst,1,0,1,1,0,4004,TZ-TRA-121406209,1,TZ-TRA-121-406-209,1,1
Cheshire Services Uganda,csu,1,0,1,1,0,717083,UG-NGB-5914-7209,1,UG-NGB-5914-7209,1,null
Centre Tricontinental - CETRI,ct-admin,5,1,2,1,1,52533,BE-BCE_KBO-0461076236,1,BE-BCE_KBO-0461076236,2,1;2
Carbon Trust (Beijing) Consulting Limited,ctbeijing,1,0,1,1,0,5099,CN-SAIC-9111010506489375XP,1,CN-SAIC-9111010506489375XP,1,1
Child-to-Child,ctc,1,1,2,1,1,23595,GB-CHC-1152010,1,GB-CHC-1152010,1,1
United Purpose,cu,3,1,4,3,1,140151,GB-CHC-272465,1,GB-CHC-272465,1,1
Doctors with Africa CUAMM,cuamm,8,1,2,1,1,67250,IT-CF-00677540288,1,IT-CF-00677540288,1,1
CUAMM Trustees,cuammtrustees,1,1,2,1,1,44502,TN-TIN-102123727,1,TN-TIN-102123727,1,1
Carers Worldwide,cww,1,1,2,1,1,21367,GB-CHC-1150214,1,GB-CHC-1150214,1,1
Cyan International,cyan,6,1,2,1,1,58036,GB-CHC-1129603,1,GB-CHC-1129603,2,0;1
Data4Development,d4d,1,0,1,1,0,9465,NL-KVK-64763064,1,NL-KVK-64763064,1,null
Dorcas Aid International,dai,34,1,2,1,1,380364,NL-KVK-41236410,1,NL-KVK-41236410,1,1
DAI Europe,dai-e,43,1,2,1,1,3456132,GB-COH-1858644,1,GB-COH-1858644,1,1
Damiaanactie / Action Damien,damien-foundation,8,1,2,1,1,74902,BE-BCE_KBO-0406694670,1,BE-BCE_KBO-0406694670,2,1;2
dance4life,dance4life,8,1,8,7,1,107993,NL-KVK-34197379,1,NL-KVK-34197379,1,1
Commune de Dangbo - Benin,dangbo,3,1,2,1,1,252915,BJ-IFU-4201710012551,3,BJ-IFU-4201710012551;BJ-IFU-5200801335602;BJ-IFU-6201501755307,1,null
"Denmark - Ministry of Foreign Affairs, Danida",danida,17397,1,8,7,1,144226419,XM-DAC-3-1,1,XM-DAC-3-1,2,1;2
Danish Red Cross,danishrc,6,1,2,1,1,26738,DK-CVR-20700211,1,DK-CVR-20700211,1,1
Danmission,danmission,28,1,2,1,1,120903,DK-CVR-25191501,1,DK-CVR-25191501,1,1
Development Aid from People to People (DAPP) Malawi,dapp,7,0,2,2,0,77379,GPAF-IMP-031,2,MW-CNM-21;dm,1,1
Dawuro Development Association,dawuro_da,1,0,1,1,0,29983,ET-CSA-0976,1,ET-CSA-0976,1,1
Défi Belgique Afrique,dba,4,1,2,1,1,56505,BE-BCE_KBO-0433439550,1,BE-BCE_KBO-0433439550,2,1;2
Digital Campus,dc,1,1,2,1,1,32397,GB-COH-07629751,1,GB-COH-07629751,1,1
DanChurchAid,dca,268,1,8,7,1,982035,DK-CVR-36980214,1,DK-CVR-36980214,2,1;null
DCAF - Geneva Centre for Security Sector Governance,dcaf,9,1,5,4,1,278732,CH-FDJP-109458452,1,CH-FDJP-109458452,1,1
D. Capital Partners,dcapitalpartners,13,0,1,1,0,45849,GB-COH-07627789,1,GB-COH-07627789,1,1
Defence for Children International Netherlands - ECPAT Netherlands,dciecpatnl,27,1,18,17,1,564127,NL-KVK-41208813,1,NL-KVK-41208813,2,1;2
"UK - Department for Digital, Culture, Media and Sport",dcms,4,1,2,1,1,60469,GB-GOV-12,1,GB-GOV-12,1,1
Disability and Development Partners,ddp,6,0,2,2,0,162716,GB-CHC-1046001,1,GB-CHC-1046001,1,1
Disasters Emergency Committee,dec-uk,10,1,2,1,1,259586,GB-CHC-1062638,1,GB-CHC-1062638,1,1
Development Expertise Center,dec_ethiopia,1,0,1,1,0,72608,ET-CSA-0009,1,ET-CSA-CSA-0009,1,1
DECP,decp,87,1,3,2,1,764451,NL-KVK-27284008,1,NL-KVK-27284008,1,null
DefendDefenders,defenddefenders,11,1,2,1,1,35709,UG-NGO-1406,2,UG-NGB-1406;UG-NGB-5541,1,1
"UK - Department for Environment, Food and Rural Affairs",defra_transparency,92,1,2,1,1,1250624,GB-GOV-7,1,GB-GOV-7,1,1
Delivery Associates Ltd,delivery_associates,9,0,5,5,0,12768,GB-COH-08333641,1,GB-COH-08333641,1,1
Stichting Deltares,deltares,28,0,1,1,0,475600,NL-KVK-41146461,1,NL-KVK-41146461,1,1
UK – Department for Education,dfe,4,1,2,1,1,18999,GB-GOV-14,1,GB-GOV-14,1,1
Danish Family Planning Association,dfpa,11,1,2,1,1,36908,DK-CVR-58185728,1,DK-CVR-58185728,1,1
Democratic Governance Facility,dgf,3,1,2,1,1,170031,XI-IATI-DGF,1,XI-IATI-DGF,1,1
Stichting fondsbeheer DGGF lokaal MKB,dggf_financing_local_smes,58,1,2,1,1,344161,NL-KVK-61172863,1,NL-KVK-61172863,1,1
David Gordon Memorial Hospital,dgmh,1,0,1,1,0,7994,MW-MRA-20120896,1,MW-MRA-20120896,1,1
Nepal Disabled Human Rights Center,dhrc_nepal,1,1,2,1,1,14861,NP-SWC-10136,1,NP-SWC-10136,1,1
UK - Department of Health and Social Care (DHSC),dhsc,202,1,3,2,1,2757310,GB-GOV-10,1,GB-GOV-10,2,1;2
Confederation of Danish Industry,di,1,1,2,1,1,4396,DK-CVR-16077593,1,DK-CVR-16077593,1,1
Diakonia Sweden,diakonia802017-3517,350,0,1,1,0,1873248,SE-ON-802017-3517,1,SE-ON-802017-3517,1,null
Developments In Literacy Trust UK,diltuk,1,1,2,1,1,20240,GB-CHC-1122924,1,GB-CHC-1122924,1,1
Development Initiatives Poverty Research,dipr,75,1,2,1,1,2458170,GB-COH-06368740,1,GB-COH-06368740,1,null
Department for International Trade,dit,1,1,2,1,1,11566,GB-GOV-15,1,GB-GOV-15,1,1
Djapo,djapo,3,1,2,1,1,59931,BE-BCE_KBO-0408022778,1,BE-BCE_KBO-0408022778,2,1;2
DeafKidz International,dki1151219,1,1,2,1,1,21411,GB-CHC-1151219,1,GB-CHC-1151219,1,1
DKT - (Pakistan),dkt,5,1,5,4,1,19462,PK-SEC-0080655,2,PK-SEC-0080655;XI-IATI-PK-SEC-0080655,1,1
DKT RD Congo,dkt_drc,1,0,1,1,0,13883,XI-IATI-DKTDRC,1,CD-COA-737PLDCRE2019,1,1
DKT Ethiopia,dkt_ethiopia,1,1,2,1,1,28638,ET-CSA-0062,1,ET-CSA-8744,1,1
DKT International,dkti,1,0,1,1,0,5525,US-EIN-58-1593137,1,XI-IATI-US-EIN-58-1593137,1,1
"Discovery Learning Alliance, Inc.",dla,2,0,1,1,0,89055,US-EIN-522043740,1,US-EIN-522043740,1,1
Development Media International,dmi_admin,1,0,1,1,0,16712,GB-COH-06069322,1,GB-COH-06069322,1,1
Drugs for Neglected Diseases initiative,dndi_transparency,14,1,2,1,1,8668755,CH-FDJP-CHE110141200,1,CH-FDJP-CHE110141200,1,1
Dóchas - Irish Association of Non Governmental Development Organisations,dochas,22,0,1,1,0,44559,IE-CHY-6410,1,IE-CHY-6410,1,1
Development Organisation of the Rural Poor,dorp-org,1,0,1,1,0,17285,BD-NAB-0682,1,BD-NAB-682,1,null
Doctors of the World UK,dotw_uk,3,1,2,1,1,14238,GB-CHC-1067406,1,GB-CHC-1067406,1,1
Disabled People's Organisations Denmark,dpod,268,1,3,2,1,600371,DK-CVR-14766383,1,DK-CVR-14766383,1,1
Direcção Provincial de Saúde de Nampula,dps-nampula,10,0,1,1,0,37897,MZ-NUIT-500004037,1,MZ-NUIT-500004037,1,1
Disability Rights Advocacy Fund,draf,1,1,2,1,1,18336,US-EIN-27-5026463,1,US-EIN-27-5026463,1,1
Danish Refugee Council,drc,112,1,2,1,1,931075,DK-CVR-20699310,1,DK-CVR-20699310,2,1;2
Disability Rights Fund,drf,1,1,2,1,1,26591,US-EIN-27-5026293,1,US-EIN-27-5026293,1,1
Democracy Reporting International gGmbH,dri,1,1,2,1,1,67759,DE-CR-RA000217-HRB121747B,1,DE-CR-RA000217-HRB121747B,1,1
Down syndrome Foundation Nigeria,dsfn,1,0,1,1,0,2155,NG-CAC-37051,1,NG-CAC-37051,1,1
University of Kinshasa,dspd_unikin,3,0,1,1,0,3587,XI-GRID-grid.9783.5,1,XI-GRID-grid.9783.5,2,1;3000
Desmond Tutu HIV Foundation,dthfxx12,11,1,2,1,1,34393,ZA-ROC-1999/05072/08,1,ZA-ROC-1999/05072/08,1,1
Deloitte Touche Tohmatsu India LLP,dttillp,1,1,2,1,1,4958,IN-MCA-AAE-8458,1,IN-MCA-IN-MCA-AAE-8458,1,1
DUF - The Danish Youth Council,duf,120,1,2,1,1,351218,DK-CVR-13078513,1,DK-CVR-13078513,1,1
UK - Department for Work and Pensions,dwp,3,0,1,1,0,14248,GB-9,2,GB-GOV-9;GB-GOVUK-9,1,1
Dynamo International asbl,dynamo_international,3,1,2,1,1,49892,BE-BCE_KBO-0474912493,1,BE-BCE_KBO-0474912493,2,1;2
Energy 4 Impact,e4i,2,0,1,1,0,55495,GB-CHC-1119168,1,GB-CHC-1119168,1,1
Equality Now,e_n,5,1,2,1,1,45537,KE-NCB-218051981161116,1,KE-NCB-218051981161116,1,1
East African Playgrounds,eap,2,1,2,1,1,14372,GB-CHC-1172875,1,GB-CHC-1172875,1,1
European Bank for Reconstruction and Development,ebrd,1351,1,2,1,1,6214901,XI-IATI-EBRD,1,XI-IATI-EBRD,1,null
Echos Communication,ec,7,1,2,1,1,90105,BE-BCE_KBO-0443262185,1,BE-BCE_KBO-0443262185,2,1;2
European Commission - Humanitarian Aid & Civil Protection,ec-echo,7416,1,12,11,1,54126954,XI-IATI-EC_ECHO,1,XI-IATI-EC_ECHO,2,1;2
European Commission - Service for Foreign Policy Instruments,ec-fpi,2944,1,140,139,1,20534925,XI-IATI-EC_FPI,1,XI-IATI-EC_FPI,2,1;2
European Commission - International Partnerships,ec-intpa,74609,1,195,194,1,576838200,XI-IATI-EC_INTPA,1,XI-IATI-EC_INTPA,2,1;2
European Commission - Neighbourhood and Enlargement Negotiations,ec-near,15577,1,45,44,1,122071114,XI-IATI-EC_NEAR,1,XI-IATI-EC_NEAR,2,1;2
ECDPM,ecdpm,21,1,2,1,1,1513134,NL-KVK-41077447,1,NL-KVK-41077447,1,null
Eclosio,eclosio,11,1,2,1,1,190659,BE-BCE_KBO-0432503697,1,BE-BCE_KBO-0432503697,2,1;2
Ecorys Nederland B.V.,ecorysnl,1,1,2,1,1,140782,NL-KVK-24316726,1,NL-KVK-24316726,1,null
Ecorys UK,ecuk,15,0,10,10,0,166155,GB-COH-01650169,1,GB-COH-01650169,1,1
Education Development Trust,eddevtrust,3,0,1,1,0,155093,GB-CHC-270901,1,GB-CHC-270901,1,1
Education Development Trust,edt_kenya,8,4,3,2,1,715978,KE-RCO-270901,2,KE-KROS-270901;KE-RCO-270901,2,1;null
EDUCATION DEVELOPMENT TRUST - RWANDA,edt_rwanda,2,1,2,1,1,149561,RW-RGB-002-RGB-NGO-2017,1,RW-RGB-002RGB17,1,1
Educate!,educate,1,0,1,1,0,4270,US-EIN-84-1648607,1,US-EIN-84-1648607,1,1
The Education Commission,educomm,2,0,2,2,0,29086,US-EIN-13-3615533,2,US-EIN-13-3615533;US-EIN-133615533,1,1
Edukans Foundation,edukans_foundation,88,0,1,1,0,1261981,NL-KVK-32092131,1,NL-KVK-32092131,1,null
Exeter Ethiopia Link,eel,1,1,2,1,1,12700,GB-CHC-1154085,1,GB-CHC-1154085,1,1
Entraide et Fraternité,ef_,16,1,12,11,1,530017,BE-BCE_KBO-0418015461,1,BE-BCE_KBO-0418015461,2,1;2
European Forest Institute,efi,2,1,2,1,1,7322,FI-PRO-1993025-9,1,FI-PRO-1993025-9,1,1
